datetime,open,high,low,close,volume
2018-01-01 05:30:00,13715.65,13715.65,13155.38,13558.99,2421.241182
2018-01-01 11:30:00,13539.0,13818.55,13001.13,13220.56,1876.934392
2018-01-01 17:30:00,13220.56,13330.0,12750.0,13022.0,2427.898747
2018-01-01 23:30:00,13007.87,13599.7,12940.0,13380.0,1883.841523
2018-01-02 05:30:00,13382.16,13850.0,12890.02,13166.95,3957.954564
2018-01-02 11:30:00,13166.95,13617.28,13041.5,13490.0,3984.077089
2018-01-02 17:30:00,13490.0,13894.86,13450.46,13780.0,5204.237369
2018-01-02 23:30:00,13789.98,15473.49,13755.43,14675.11,6931.823089
2018-01-03 05:30:00,14690.0,15299.99,14660.0,14988.0,4945.238109
2018-01-03 11:30:00,14980.89,15307.56,14150.0,14730.05,5773.10049
2018-01-03 17:30:00,14764.73,15130.0,14400.04,14800.0,2949.681177
2018-01-03 23:30:00,14800.0,14990.0,14671.0,14919.51,2237.647863
2018-01-04 05:30:00,14919.51,15280.0,14649.99,14875.1,3951.379597
2018-01-04 11:30:00,14890.0,15100.0,13918.04,14539.97,6290.608542
2018-01-04 17:30:00,14539.99,14653.4,14181.88,14648.89,5956.190081
2018-01-04 23:30:00,14648.0,15100.08,14601.0,15059.54,5131.471354
2018-01-05 05:30:00,15059.56,15200.0,14600.0,15000.0,5435.654299
2018-01-05 11:30:00,14999.0,16350.0,14700.0,16090.69,5859.143932
2018-01-05 17:30:00,16090.7,17118.13,15750.0,16650.0,5725.994674
2018-01-05 23:30:00,16650.0,17176.24,16310.0,16960.39,6230.69822
2018-01-06 05:30:00,16960.39,17099.99,16288.0,16642.84,5750.172159
2018-01-06 11:30:00,16637.82,16750.01,16340.0,16529.89,3231.526776
2018-01-06 17:30:00,16505.16,16982.0,16011.21,16889.93,5225.363092
2018-01-06 23:30:00,16854.03,17143.13,16582.98,17069.79,4364.395481
2018-01-07 05:30:00,17069.79,17099.96,16400.0,16564.0,4628.452787
2018-01-07 11:30:00,16564.0,16886.75,16400.0,16607.0,2775.121584
2018-01-07 17:30:00,16611.0,16649.05,15715.06,15800.01,2961.714635
2018-01-07 23:30:00,15800.01,16500.0,15610.0,16150.03,2127.836552
2018-01-08 05:30:00,16218.85,16322.3,15476.0,15768.71,4634.530941
2018-01-08 11:30:00,15768.71,15921.68,14551.0,15400.0,6500.957016
2018-01-08 17:30:00,15414.0,15499.0,12812.0,14699.95,11639.88273
2018-01-08 23:30:00,14739.8,15270.99,14392.32,14902.54,3825.239225
2018-01-09 05:30:00,14902.54,15500.0,14670.0,14880.0,3341.808955
2018-01-09 11:30:00,14880.0,15300.0,14170.33,14726.0,3573.937384
2018-01-09 17:30:00,14726.0,14998.62,14011.05,14949.98,4373.999728
2018-01-09 23:30:00,14949.98,14990.0,14125.0,14400.0,3025.258186
2018-01-10 05:30:00,14401.0,14480.0,13750.0,14136.72,4313.144179
2018-01-10 11:30:00,14136.77,14349.99,13131.31,13919.08,6167.650672
2018-01-10 17:30:00,13919.09,14698.12,13500.0,14567.51,4662.418519
2018-01-10 23:30:00,14550.0,14955.66,14172.95,14907.09,2267.788285
2018-01-11 05:30:00,14940.0,14968.68,11400.0,12868.84,14589.357753
2018-01-11 11:30:00,12868.84,13896.7,12780.03,13385.1,6939.707457
2018-01-11 17:30:00,13385.1,14400.0,13282.13,13650.01,5881.968715
2018-01-11 23:30:00,13650.01,13849.99,12511.0,13238.78,6143.689826
2018-01-12 05:30:00,13238.76,13880.0,12500.0,13550.0,5561.227924
